time	conversion	overall_conversion
10.4734	0.000152523	0.000152523
21.1495	0.00033776	0.00033776
31.6009	0.000485719	0.000485719
41.8898	0.000633027	0.000633027
51.8902	0.000757198	0.000757198
62.2395	0.000893355	0.000893355
72.2396	0.0011826	0.0011826
82.2397	0.00176352	0.00176352
92.2399	0.00296835	0.00296835
102.24	0.00362493	0.00362493
112.24	0.00453961	0.00453961
122.24	0.00552594	0.00552594
132.24	0.00699529	0.00699529
142.24	0.00822717	0.00822717
152.241	0.00973706	0.00973706
162.241	0.0106591	0.0106591
172.241	0.0120006	0.0120006
182.241	0.0132033	0.0132033
192.241	0.014465	0.014465
203.354	0.0157866	0.0157866
213.354	0.0171453	0.0171453
223.354	0.0183642	0.0183642
233.354	0.0195304	0.0195304
243.354	0.0209789	0.0209789
253.354	0.0224518	0.0224518
263.354	0.0237421	0.0237421
273.458	0.0248758	0.0248758
283.458	0.0264651	0.0264651
293.458	0.0276666	0.0276666
303.458	0.0290076	0.0290076
313.458	0.0301465	0.0301465
323.458	0.0309741	0.0309741
333.459	0.0321112	0.0321112
343.459	0.033398	0.033398
353.459	0.0346441	0.0346441
363.459	0.0356821	0.0356821
373.459	0.0366764	0.0366764
383.46	0.0379696	0.0379696
393.46	0.0393553	0.0393553
403.46	0.0405139	0.0405139
413.46	0.041713	0.041713
423.46	0.0429649	0.0429649
433.46	0.0440545	0.0440545
443.46	0.0451738	0.0451738
453.493	0.0461036	0.0461036
463.591	0.0472479	0.0472479
473.591	0.048274	0.048274
483.591	0.0493311	0.0493311
493.64	0.0501584	0.0501584
503.64	0.0511728	0.0511728
513.64	0.0524224	0.0524224
523.641	0.0531818	0.0531818
533.641	0.0540342	0.0540342
543.641	0.0552605	0.0552605
553.762	0.0564989	0.0564989
563.762	0.0576114	0.0576114
573.762	0.0588582	0.0588582
583.762	0.0599381	0.0599381
593.762	0.0610262	0.0610262
604.214	0.0619634	0.0619634
614.214	0.0632393	0.0632393
624.3	0.0641017	0.0641017
634.3	0.0647541	0.0647541
644.301	0.0661972	0.0661972
654.301	0.0672186	0.0672186
664.301	0.0684528	0.0684528
674.301	0.0692894	0.0692894
684.301	0.0705194	0.0705194
694.301	0.0717086	0.0717086
704.821	0.0729064	0.0729064
714.821	0.0739594	0.0739594
724.822	0.075285	0.075285
735.936	0.0764273	0.0764273
745.936	0.0777612	0.0777612
755.936	0.0787704	0.0787704
766.409	0.0798106	0.0798106
776.409	0.0811315	0.0811315
786.409	0.0821938	0.0821938
796.409	0.0832065	0.0832065
806.409	0.0842779	0.0842779
816.409	0.0853749	0.0853749
826.409	0.0862988	0.0862988
836.409	0.0874425	0.0874425
846.409	0.0886046	0.0886046
856.41	0.0894062	0.0894062
866.41	0.0906124	0.0906124
876.41	0.0919555	0.0919555
886.41	0.0927904	0.0927904
896.41	0.0940355	0.0940355
906.411	0.0947795	0.0947795
916.411	0.0960014	0.0960014
926.411	0.097488	0.097488
936.761	0.0988493	0.0988493
946.761	0.0999387	0.0999387
956.761	0.101056	0.101056
966.761	0.102225	0.102225
976.761	0.103391	0.103391
986.762	0.104505	0.104505
996.762	0.105557	0.105557
1007.12	0.106799	0.106799
1017.12	0.107491	0.107491
1027.12	0.108645	0.108645
1037.16	0.109581	0.109581
1048.02	0.110753	0.110753
1058.51	0.11191	0.11191
1068.53	0.113244	0.113244
1078.53	0.114525	0.114525
1088.53	0.115936	0.115936
1098.53	0.117056	0.117056
1108.63	0.118105	0.118105
1118.63	0.119338	0.119338
1128.63	0.120647	0.120647
1138.63	0.122073	0.122073
1148.63	0.123356	0.123356
1158.63	0.124609	0.124609
1168.63	0.125792	0.125792
1178.63	0.126534	0.126534
1188.63	0.127152	0.127152
1198.67	0.128003	0.128003
1208.67	0.129225	0.129225
1218.67	0.130449	0.130449
1228.71	0.13163	0.13163
1238.71	0.132594	0.132594
1249.28	0.133518	0.133518
1259.28	0.134299	0.134299
1269.28	0.135363	0.135363
1279.28	0.13661	0.13661
1289.29	0.138005	0.138005
1299.29	0.139198	0.139198
1309.29	0.140638	0.140638
1319.29	0.142023	0.142023
1329.29	0.143228	0.143228
1339.29	0.144474	0.144474
1349.29	0.145365	0.145365
1359.29	0.146522	0.146522
1370.34	0.147592	0.147592
1380.34	0.148541	0.148541
1390.34	0.149559	0.149559
1400.34	0.150602	0.150602
1410.65	0.151583	0.151583
1421.1	0.152583	0.152583
1431.1	0.153936	0.153936
1441.1	0.155591	0.155591
1451.1	0.15733	0.15733
1461.19	0.158484	0.158484
1471.53	0.159636	0.159636
1481.53	0.160831	0.160831
1491.53	0.162203	0.162203
1501.53	0.163829	0.163829
1511.53	0.165256	0.165256
1521.53	0.166592	0.166592
