conversion	Mn	Mw
0.000152523	17890.2	40684.9
0.00033776	18202.7	43080
0.000485719	17398.8	37027.4
0.000633027	17862.3	37535.1
0.000757198	17763.1	36371.3
0.000893355	18054.4	36952.9
0.0011826	20746	53670.5
0.00176352	27982.8	112132
0.00296835	42994.7	306782
0.00362493	49283	306753
0.00453961	56224	310746
0.00552594	61903.6	303960
0.00699529	73285.8	391562
0.00822717	80548.9	391021
0.00973706	86678	392622
0.0106591	89429.6	389189
0.0120006	94582.5	377275
0.0132033	98115.7	380691
0.014465	102524	398026
0.0157866	105989	392640
0.0171453	108649	384912
0.0183642	109309	374209
0.0195304	111162	375321
0.0209789	113984	374902
0.0224518	116384	373052
0.0237421	118950	369971
0.0248758	119237	366026
0.0264651	119214	359824
0.0276666	121963	366967
0.0290076	122980	363425
0.0301465	124285	360815
0.0309741	123774	358413
0.0321112	124573	357062
0.033398	125416	354044
0.0346441	125754	351106
0.0356821	126979	349281
0.0366764	127633	348098
0.0379696	128762	348192
0.0393553	129284	347759
0.0405139	129741	345872
0.041713	129693	345357
0.0429649	129545	342464
0.0440545	130399	343422
0.0451738	130107	340757
0.0461036	131393	342550
0.0472479	132384	344083
0.048274	131982	340981
0.0493311	132570	341629
0.0501584	132883	341359
0.0511728	133385	340735
0.0524224	134186	342025
0.0531818	134348	340537
0.0540342	134346	338757
0.0552605	134269	338129
0.0564989	134707	338818
0.0576114	135257	339754
0.0588582	135786	338604
0.0599381	135919	338412
0.0610262	136319	338787
0.0619634	136576	338344
0.0632393	136423	337069
0.0641017	136414	335642
0.0647541	136491	335682
0.0661972	137023	337303
0.0672186	136678	337496
0.0684528	136405	335694
0.0692894	136122	334716
0.0705194	135731	332952
0.0717086	136744	334969
0.0729064	136847	334606
0.0739594	137145	335718
0.075285	137137	334947
0.0764273	137212	334731
0.0777612	136976	333394
0.0787704	136741	332803
0.0798106	136800	332713
0.0811315	136752	332407
0.0821938	137458	336055
0.0832065	137347	336330
0.0842779	137898	336524
0.0853749	137994	336073
0.0862988	137959	335608
0.0874425	137763	334257
0.0886046	137887	333290
0.0894062	137595	332022
0.0906124	137262	330391
0.0919555	137246	330132
0.0927904	137361	329838
0.0940355	137975	331308
0.0947795	137216	330332
0.0960014	137553	330521
0.097488	138819	338408
0.0988493	139298	338625
0.0999387	139259	337985
0.101056	139612	338021
0.102225	140514	343159
0.103391	140662	342562
0.104505	140927	342591
0.105557	140822	342822
0.106799	141658	346407
0.107491	141477	345440
0.108645	141780	346249
0.109581	141612	345292
0.110753	141839	344764
0.11191	141802	343712
0.113244	142258	343677
0.114525	142579	344248
0.115936	142967	344423
0.117056	143109	344303
0.118105	143512	344104
0.119338	143696	344111
0.120647	143941	345598
0.122073	143920	344879
0.123356	144407	345818
0.124609	144742	347509
0.125792	144961	347165
0.126534	144398	346852
0.127152	143977	346942
0.128003	144068	346677
0.129225	143980	346231
0.130449	144137	346338
0.13163	144084	346989
0.132594	144084	346928
0.133518	143860	346103
0.134299	143821	345615
0.135363	143776	345427
0.13661	143850	346091
0.138005	144101	346579
0.139198	144114	345873
0.140638	144430	348059
0.142023	144661	348595
0.143228	144852	348751
0.144474	145277	349161
0.145365	145561	349980
0.146522	145841	349834
0.147592	146249	350785
0.148541	146244	350596
0.149559	146355	350898
0.150602	146466	350741
0.151583	146704	351554
0.152583	146511	351237
0.153936	146866	351929
0.155591	147527	354071
0.15733	147981	355071
0.158484	148204	355285
0.159636	148377	355359
0.160831	148564	354974
0.162203	149049	356678
0.163829	149146	356710
0.165256	149602	358524
0.166592	149612	358986
0.167924	149550	357920
0.168925	149352	357236
0.169919	149327	357673
0.17138	149251	356828
0.172727	149510	356897
0.174111	149497	357315
0.175202	149574	357606
0.176814	150030	358609
0.177989	150323	359718
0.17919	150446	360410
0.18091	151041	360723
0.182084	151115	361333
0.183091	150945	360777
0.184504	151422	361030
0.185926	151652	361952
0.18697	151759	362681
0.187999	151853	362732
0.189203	152106	362747
0.190474	152147	363396
0.191424	152295	363122
0.192667	152392	363901
0.193894	152757	364595
0.195076	153144	366594
0.196335	153588	368370
0.19775	153950	369559
0.198723	153867	369211
0.200314	154220	371201
0.20217	154713	371422
0.203764	155218	372058
0.205345	155729	373456
0.206284	155966	373698
0.207738	156334	375003
0.209175	156588	374832
0.210623	157102	377223
0.212062	157118	376741
0.213284	157283	376844
0.214136	157271	377074
0.215601	157477	377111
0.217388	157570	377391
0.219203	157986	378430
0.220742	158123	378823
0.221749	158447	379925
0.223344	158639	381134
0.224896	158930	382120
0.226591	159188	382503
0.228435	159863	384450
0.229375	160072	384413
0.230844	160051	384065
0.231851	160230	384030
0.234011	160701	384555
0.23507	160966	384969
0.236732	161458	388539
0.238173	161520	387974
0.239894	162025	391036
0.240959	162104	391287
0.241995	162199	391960
0.24291	162140	392240
0.243678	161876	391648
0.245681	162377	392108
0.247532	162791	392883
0.249196	163347	394582
0.250748	163451	394755
0.252271	163801	395172
0.254148	164271	396452
0.256503	164849	399598
