conversion num_unsaturated num_saturated num_HHbond
0.000152523 21 21 9
0.00033776 48 48 15
0.000485719 74 72 21
0.000633027 94 92 26
0.000757198 112 110 31
0.000893355 131 129 36
0.0011826 150 148 41
0.00176352 165 162 48
0.00296835 181 176 52
0.00362493 192 186 58
0.00453961 212 206 63
0.00552594 234 227 69
0.00699529 250 242 77
0.00822717 268 259 80
0.00973706 295 285 88
0.0106591 311 301 97
0.0120006 330 318 105
0.0132033 352 339 110
0.014465 369 356 115
0.0157866 392 379 120
0.0171453 414 401 127
0.0183642 442 427 132
0.0195304 462 447 140
0.0209789 482 465 148
0.0224518 504 485 155
0.0237421 524 504 162
0.0248758 549 528 171
0.0264651 583 559 180
0.0276666 596 571 186
0.0290076 618 592 195
0.0301465 637 611 201
0.0309741 659 631 205
0.0321112 678 650 210
0.033398 699 671 217
0.0346441 718 690 224
0.0356821 736 708 231
0.0366764 755 726 236
0.0379696 769 739 248
0.0393553 793 762 254
0.0405139 815 784 261
0.041713 836 805 273
0.0429649 857 826 283
0.0440545 878 846 293
0.0451738 901 867 303
0.0461036 912 878 309
0.0472479 927 893 315
0.048274 949 914 323
0.0493311 965 930 329
0.0501584 979 943 336
0.0511728 992 956 343
0.0524224 1009 973 353
0.0531818 1022 986 358
0.0540342 1039 1002 361
0.0552605 1060 1023 371
0.0564989 1083 1045 381
0.0576114 1099 1060 387
0.0588582 1119 1078 392
0.0599381 1141 1100 395
0.0610262 1157 1116 401
0.0619634 1174 1132 408
0.0632393 1199 1156 416
0.0641017 1216 1173 422
0.0647541 1227 1183 426
0.0661972 1249 1205 434
0.0672186 1271 1225 444
0.0684528 1297 1249 454
0.0692894 1313 1265 461
0.0705194 1340 1290 476
0.0717086 1352 1302 481
0.0729064 1376 1325 486
0.0739594 1393 1341 490
0.075285 1420 1366 496
0.0764273 1441 1386 505
0.0777612 1468 1412 514
0.0787704 1487 1430 527
0.0798106 1508 1448 534
0.0811315 1534 1473 540
0.0821938 1543 1482 550
0.0832065 1564 1503 553
